review	label
第一时间不接触热搜才接触？	1
像黑社会	1
教育辅助器材损坏，先行政罚款几百万再说。	1
发生这种事情，但凡有点良知的老师校长都会悲伤，但是校方的公告和回应都是冷冰冰，这种没人性的教育工作者搞教育是我们国家教育之耻！！	2
一问三不知语气里没有对逝去学生哪怕一丁点儿惋惜和抱歉媒体面前都这态度背后对家长的态度可见一斑	1
监控缺失就是心里有鬼！彻查！换家长公道！	2
现在你们不出来发声了吗？？？@共青团中央@紫光阁@中国政府网@国务院公报@光明日报@国台办发布@国务院公报@健康中国@科技日报@联合国@强国论坛@全国人大@人民日报@人民网@世界卫生组织@央视频@央视新闻@中国新闻社@中国政府网@中国青年报@中国之声@胡锡进@环球网监控	1
监控一删啥事没有这监控…	1
倒闭别办了	1
删监控就是有鬼	1
一问三不知，玛德	2
图片评论?评论配图	0
欲盖弥彰！如果人是自杀，按照正常逻辑，校方应该立即报警并通知家属，积极配合并做好自证自清安抚各方的工作。警方也应该积极调查取证，及时通知家属进展。可该事件家属却不是第一时间得到死讯，连死者面都没有见到。更不知道死亡时间、死亡原因…究竟要掩盖什么？为什么家属不能看到死者尸体？	3
背后真凶一定要下地狱	2
什么世道，人家的孩子都不让看么？天理何在？	3
学校出事了第一时间瞒报，糊弄家长，如何教书育人。	1
当事人的同学们，你们是不是被威胁了？不让上网说出真相，那就把真相打印出来贴满大街小巷的厕所里，没监控的地方！！！让全国人民都知道！	3
一问三不知	1
最后应该就是赔偿了事	1
学校遮遮掩掩的干嘛啊。真的好难理解，如果学校有责任你认为遮遮掩掩能逃掉吗，如果学校没有责任那又何必遮遮掩掩。	1
这学校的所作所为真的让人匪夷所思，冷血	1
监控永远在关键时刻坏，我真呵呵了…	1
#成都四十九中回应学生在校高坠离世#无论是何种原因、责任在谁，都应快速高效的将实际情况公之于众。在此之前有案例，公众未必会将矛盾对准学校。但如此简单粗暴的处理和回应方式，态度就让人难以接受，没有同理心。	1
透明啊，什么时候才能透明	1
什么都不知道你们到底知道个什么啊？！	2
真的讽刺，一个教书育人的学校整的跟个黑社会一样，现在扫黑除恶这么大力度，居然有条漏网之鱼在学校里	1
家长就在门口呢，你倒是赶紧接触啊	1
监控又坏了	0
监控会不会完整呢？若不完整就有很大问题！	1
孩子出事，学校单方面瞒着第一时间送去殡仪馆？学校有什么权利不让家长进校门见孩子？不让家长了解孩子出事的原因？学校还把监控视频删掉了？还态度蛮横说舆论和法律都不怕？回到古代了？恶霸横行天下？没钱没权人死了连申冤的地方都没有？	3
监控总是坏得这么及时？？	1
呵呵又是监控…这种学校最好哪一天校领导的孩子也这样死了	2
感觉大家有太多情绪需要发泄了...！！至少有个合理的解释！	1
什么世道……	3
本应教书育人的地方，却让学子看到最丧尽天良的一面	1
为什么关键时刻监控总是会坏	1
“我不知道啊我不知道啊我不知道啊”，混账东西	2
这件事太恶劣了，我想起来水浒传的武大郎！	2
2021年了，我在小说里都没看到过毁尸灭迹能做的如此理直气壮的。毁尸：没有经过监护人的同意，将被监护人直接拉入殡仪馆火化。灭迹：监控系统“选择性”丢失数据。在社会主义国家的法治社会，光明正大理直气壮地干着毁尸灭迹勾当的学校啊，牛逼的黑社会学校	2
希望凤凰一定要跟住此事！！	0
照你这么讲，每次出事买热搜算了	0
深表痛心就是家长也不告诉，不抢救直接拉火葬场烧了？牛逼	1
为凤凰网点赞?	0
领狗粮的叛国者毫无人性跟风被带节奏者愚蠢至极海浪退却真相揭露之时，是否还有人在意？他们只想看你剥开自己肚子，你吃了几碗粉重要吗？唯留下那一个个在阴暗角落里狞笑着嘴角含血的脸。靠出卖祖国换取的狗粮，即使带血却依旧香甜	2
相关责任人请重判，不然谁还敢生孩子？好好看看出生律	1
不是特别懂，但学校发生了这样的事，是不是应该第一时间报警处理，通知父母。	0
又是哪家的公子少爷惹事了？学校在帮着擦屁股呢	0
就是明着这么告诉你了，怎么样吧。。。有人性就应该第一时间通知，而不是隐瞒，看看动物园，其实。。基本都是第一时间隐瞒想对策，哪里都是。。大事小事都是。。这个只能自己想了，意外？校暴？师生矛盾？。。	1
成都49中孩子出事，家长连最后一面都没见上。学校单方面瞒着第一时间送去火化了，还有人性吗？学校有什么权利不让家长见孩子？不让家长了解孩子出事的原因？学校还把监控视频删掉了！学校不道歉不回应还态度蛮横说舆论和法律都不怕。回到古代了？恶霸横行天下？没钱没权人死了连申冤的地方都没有。	2
当初的监控招标怎么搞的？当时花了多少钱	0
转发即正义	0
???	0
没经过家属同意就火化，这么着急吗？都不让孩子家长看孩子最后一眼？	1
很离谱，谁都有子女亲戚小孩上学，将心比心，如果这种事情发生在自己身上，叫天天不应，又该怎么办？现在案件都需要微博逼着办案，法律的公正性何在	3
热搜治国，看看这个热搜待几天，看看这个学校里隐藏了多大的势力？	1
又是监控坏了！现在一家一个孩子，最多两个，可以说是整个大家庭最重要的人，有没有可能教育改革，把监控也管起来，定期备份在教育局，或者异地备份，家长有权利随时确定学校监控的好坏	1
媒体一定要帮帮他！！！	0
用户还不在了。。。这有点可怕！	3
和家长接触？？学校压不住社会舆论了吗？？	1
中国特色，能蛮尽量蛮住	3
！讨个公道！	2
在门口多久了？现在舆论上来才接触，接你mlb	2
我希望明天热搜出现真相以及49中的校领导的公开道歉和处罚通知！谢谢！?	0
校长政治生涯已完蛋	1
成都49中	0
因为疫情的原因…我为我的国家为我的祖国骄傲着…可是看到网上一些新闻我又怀疑…这是否是在同一个国家	1
以后我有孩子了我就天天给他带个执法仪	0
教书育人的地方把孩子母亲拒之门外？	1
把全国的监控全拆了吧，反正一出事就坏也没什么用	0
韩剧里的监控缺失的桥段竟然生活中也存在鬼扯！	2
当天拒绝家长入校，不让看监控，第二天查看偏偏就事发时段监控出了问题？到底是想掩盖什么？	3
校长是哪个？	0
你为啥啥都是不知道不知道	1
！！！！！！！！！！！！！	2
每个孩子都是独一无二的，学校这种操作成了常态，一旦这个家长没了希望，到时候报复社会，做出什么离谱的事也不是没有可能	1
摆明了有鬼，谁知道是不是被哪个有背景的恶少扔下去的	3
希望家人用录音设备录下校方的每一次回复	0
请bbc来，又是黑料	0
回复@Lashu-的表态:这种垃圾学校，去读的学校少了，就没有什么生源，慢慢被遗忘了2	1
一定要严查，孩子太可怜了！！！	2
一个活生生的生命就这么蹊跷的没了，连家长都不给见就火化了？这不是明摆着有黑幕、此地无银三百两是什么？	3
我翻开历史一查，这历史没有年代。歪歪斜斜的每页上都写着“仁义道德”几个字，我横竖睡不着，仔细看了半夜，才从字缝里看出来，满本上都写着两个字“吃人"！	3
家属微博没了	0
为何家长微博销号	0
妈妈的账号已经不存在了，什么情况	0
搜索不到这个人生就像泡沫了你们能吗	0
太恐怖了	3
法制社会哎。。。	3
天呐，他妈妈号没了吗？怎么看不到内容了	1
什么鬼	1
回复@Lashu-的表态:隐瞒就是欺骗，欺骗就是伤害，伤害就是要命@人生就像泡沫	2
这一次热搜没有消失，希望公共媒体能站在相对弱势受害者一方，给家属一个交待……	1
转发微博	0
好想唱国歌	0
人生就像泡沫	1
这种校长领导怎么能教好学生，怎配人师	1
受伤的总是社会底层的朴实公民	1
以公开促公正，以公正促和谐	0
求真求实，家长多么心痛，他只想要真相啊！	1
你终于发生了	0
请评论不要上升gj。这种事全世界都在发生，不是某个gj和地区的问题，现在希望zf能看到群众的发声，我们痛恨我们无奈我们抗争，但是我们无可奈何，只希望悲剧不再发生，希望我们和身边的人都不会发生这种悲剧。	3
求真求实，至善至美多么讽刺！！	2
出了事不第一时间通知家长就很迷。发的公告连监控有没有都不提。	1
先把监控删了，同学们控制了，再把他们放进来	1
期待真相和公道	0
监控特么如同虚设	2
官官……～	1
什么都不知道	0
像这种情况，能调查出什么	0
你什么都不知道这是沟通吗	0
老百姓就像蝼蚁，随便可以踩死	3
求真相	0
呼吁希望大家不要读这个垃圾学校	1
凤凰网啥背景啊？怎么敢报道这事儿	0
等待真相，等待正义	0
杀人毁尸灭迹	1
烂透了	1
这样的学校还教书育人？太过分了	2
孩子妈妈的微博被成都官方和微博官方控制起来了，她本人登不上去了，望周知	1
…无法用语言描述	0
等后续	0
#成都高二学生坠亡校方回应#请给孩子父母一个交待；人命关天，必须给予真相	0
希望能还人民一个公道	0
生气到睡不着觉，真是被这帮混蛋气死	2
校长主任先关起来	0
不知道	0
感谢有大媒体去关注追踪此事	0
呼吁彻查	0
还不铲平这个学校留着过年啊！	2
笑死一问三不知真的不知道吗否定的也太快了吧	1
成都49中必须给家和公众一个交代，该承担责任的要承担责任?	1
严查！还人民一个公道！	2
凤凰网牛逼	0
什么学校！啥都不知道关了吧…还学校	2
把校长以包庇罪抓起来审判！	2
就TM离谱	1
17岁，一个鲜活的生命，在母亲节消散…所有热评都被禁止点赞了，有的热评也都删除了，这个世界到底是怎么了？	3
绝了，这个什么都不知道	1
可怜的娃	1
动用资本的力量搞定一切	0
司马领导祝愿你们和家人一起被泥头车撞上天	2
怀疑尸体已经被处理了	0
新闻正义	0
监控关键时刻就坏	0
学校做个人吧呵呵	1
都说扫黑除恶，法治社会，学校以人为本，简直就是在打脸	1
涉案人员背后有权贵，所以监控坏了，一般都是这套路。	0
老百姓太难了	3
监控不背锅	0
黑色会都怕饭碗掉了	0
这个学校什么都不知道难道是白痴？	2
这是教书育人的地方？真令人寒心！	2
关键时刻就没监控？校方态度冷冰冰，还能不能有点人性	1
可怜的父母，学校把监控都毁了可怕	1
@人民日报@紫光阁	0
告学校杀害。	1
扫黑除恶有盲区	0
感觉热搜已经是普通人的最好求助的地方了	0
一个家长把孩子培养到高三要付出好多心血啊	0
太绝望了	1
这种回答敷衍了事的	1
到底有什么隐情？	0
永远不要与公家作对，在我国官阶与普通百姓有的只是“命令”与“服从”	3
那到底有没有见到孩子遗体	0
感觉要炸两个学校才能引起重视	1
学校牛逼	1
真是无法无天！	2
年久失修，心都是坏的？	1
建议监控坏掉重罚往死了罚	1
监控这么容易坏噢。	1
请查出真相	0
学校是不是有病？事情怎么样就怎么样，遮遮掩掩的影响更坏。	1
监控在你需要他的时候总是会丢失。。。	1
监控坏了！多么熟悉的字眼！还能有别的借口吗？	1
凤凰来晚了	0
几个小时后才联系家属？	0
希望严查	0
悲痛	1
原以为豹子是豹子，人是人。可是这两件一起发生了，不由得怀疑，或许豹子不只是豹子，人也不只是人。	1
学校的声明像放屁一样，高空坠落，如果只是简单的高空坠落为什么家长不能见孩子，为什么监控每次到了关键时候就缺失，既然这样还要监控干嘛？摆设吗？这个社会真是一塌糊涂，黑暗的不要不要的！说什么人民当家作主，可是每次一到关键时刻，人民个个都是弱势群体！这个妈妈该有多无助！唉……	3
心疼	1
求助各位大神调查并公布真实情况，还这位妈妈自己他的家人一个真相，谢谢?@人民日报@紫光阁@头条新闻@人民日报@紫光阁@头条新闻@人民日报@紫光阁@头条新闻@人民日报@紫光阁@头条新闻@人民日报@紫光阁@头条新闻@人民日报@紫光阁@头条新闻	0
太痛心了！求公道	1
一问三不知，要他何用，这人是个摆设？	1
@共青团中央@紫光阁@中国政府网@国务院公报@光明日报@国台办发布@国务院公报@健康中国@科技日报@联合国@强国论坛@全国人大@人民日报@人民网@世界卫生组织@央视频@央视新闻@中国新闻社@中国政府网@中国青年报@中国之声@胡锡进@环球网监控	0
@共青团中央@紫光阁@中国政府网@国务院公报@光明日报@国台办发布@国务院公报@健康中国@科技日报@联合国@强国论坛@全国人大@人民日报@人民网@世界卫生组织@央视频@央视新闻@中国新闻社@中国政府网@中国青年报@中国之声@胡锡进@环球网。	0
凭什么擅自送殡仪馆？	2
时间、地点、人物，事情的起因、经过和结果！这都是老师教我们的！你们公然背叛？真相是啥！欲盖弥彰！滑天下之大稽！实在是可气！可笑！可耻！可恨！	2
这种学校的家长该多寒心。。雪崩时没有一片雪花是无辜的。	1
这么大个“教书育人”的学校，到底在隐瞒什么真相？？？对学校来说，只是少了一个学生；可对一位母亲来说，却是丢了半条命！！！这样也不配知道真相吗？	2
他全都不知道服了	1
什么都是我不知道？？	1
水太深黑社会吗	1
教书育人这学校赶紧炸了吧	1
一问三不知？？？	1
学校每逢发生一些事都是先想着脸面，还有啥脸面？	1
就是非要上舆论了，才能让你们出现与家长沟通是吗!这么大的事一个教书育人的地方先选择逃避，真的搞不懂了。	1
没有记者采访一下家长吗	0
那个姓万的教师，要严查	0
希望学校还原事情真相让事件不要复杂化引起社会舆论压力	0
必须调查清楚	0
号没了	0
还是教书育人的地方，学校的领导管理人员，这种办事方式，怎么能教好学生	1
这位妈妈的微博用户不存在了？？	1
微博被封了？	1
为什么孩子妈妈的微博号已被注销……我们要一个真相就这么难吗	3
成都四十九中！！!骇人听闻的学校！！	1
学校没有心吗看人家父母多可怜多心疼啊良心被狗吃了吗	2
卧槽？死者妈妈微博被注销了？	1
用户不存在了	0
林妈妈的微博已经被注销了	0
新浪牛笔，把人家的号直接封了	2
接触个屁！	2
家长微博没有了	0
天呢好像家属的微博号被封了？	1
公检法公信力何在，为什么没有一个知情人，傻子都能看出来的，你们装看不见。	3
学校明显的有问题	1
你不转我不转轮到自己没人管	3
薛定谔的监控???	1
这就是法治社会真好	0
“你不管我不管轮到自己没人管”//@山有鸣:#成都49中#致相关事件知情人：今天你不为他发声，明天惨剧发生在自己身上，也不会有人为你发声！???	3
水很深啊	0
@环球时报@环球时报@环球时报快来曝光关注??	0
#成都49中#看得我好气//@人在江湖54321:同意。声音虽小积小成大，社会事件人人有责！//@山有鸣:#成都49中#致相关事件知情人：今天你不为他发声，明天惨剧发生在自己身上，也不会有人为你发声！???	2
这是什么鬼学校，什么都不知道	1
早干啥去了？！现在接触？监控数据毁的没了吧？！！	2
武汉的雨再大，也没有成都的天黑	0
当别人都是傻的？	1
态度傲慢什么都不知道接受什么采访？？	2
监控缺失？？？	1
希望相关部门好好处理！	0
请顶上去！！！！！！	0
学校有什么权利处理遗体？交出监控让家长认领遗体！	1
不是说考试吗老师经常看监控看学生咋就缺失了出事监控记录呢？	1
监控永远在掉链子	0
接触还是威胁	0
希望校长及相关人员世代不孕不育儿孙满堂	1
教育辅助器材损坏，应该先行政罚款几百万，校长及相关领导追责。	1
“坚持以人民为中心，实事求是”“人民是国家的主人”如今！权利至上！	0
监控发生命案必坏	0
家长太可怜，学校真无人性	1
接触等于施压！！！！	1
现在问什么都是我不知道是吗？我不知道这个不知道后面到底有多少知道，我们看到的世界极其美好，但是有多少地方在腐烂发愁！！！！	2
关注真相	0
真想念那个革命的年代，处处都有发声，人人都有良心	1
就会欺负弱势群体？？	2
一直说我不知道我不知道就是心中有鬼啦	1
孩子都走了，一对父母只想要一个真相，就这么难，为什么	1
为什么不第一时间通知家长？哪来的权利处理尸体，好巧不巧监控没了，需要这么心虚吗	1
最大的黑社会组织就是学校吧，操场埋尸十几年，各种系统性包庇纵容违法犯罪，欺压学生和家长。。。这次学校居然有权力不让母亲见儿子、删监控、遣散学生、控制平台、控制新闻机构，黑社会都没有这种手段和排场，没有报应恐怕不行吧？！	1
太，难过了	1
就这种学校，以后还会有学生愿意去？	1
可以联系殡仪馆火化了这个小孩子的人，他是最后一个见了这个小孩的人！！！！！！	0
这位母亲在母亲节当天失去了做母亲的资格她冷静地等待说法等到殡仪馆的通知等到监控的缺失	1
就我不知道我不知道的明显有鬼	1
扫黑除恶没扫到成都吗	0
这样拒家长而不离，那校方通报所谓的“善后”是什么呢？	0
这是学校还是黑社会？只手遮天？事发几个小时才通知家属，不让母亲看孩，唯独那一段监控缺失？没有监护人同意还直接拉去殡仪馆？还威胁学生多嘴的人成都教育系统有人查的到，以后不能高考？哇，官官相护啊？不会警厅也有人吧？不怕法律法规？今年这不彻查？@共青团中央	2
需要真相！	0
引用楼下一句话：你我皆蝼蚁，帮人便是帮自己	3
第一时间阻挠家属，然后关键监控缺失。换我的话不论后面官方通报什么情况我都不会信，就因为阻挠，我会让学校负责这件事的人全部偿命，不需要“法律”“机关”帮我，不管他们是好是坏有没有关系，都别想跑。只有一件事做的人，有的是时间机会，然后“法律”“机关”来找我为他们讨回公道。	1
怎么都觉得这学校有问题。孩子的父母没有第一时间到现场看到孩子的尸体，也没有看监控录像的权利。为了看孩子最后一面还要可怜兮兮的在学校门口等啊等。这做法怎么都不像正常的事。孩子怎么会毫无征兆的跳楼？看着新闻孩子父母不是说孩子还打过电话回家祝母亲节快乐，还表示回家的吗？一堆疑点重重	1
发现热搜降不了才开始接触么	0
科普一下成都是个什么地方，是一个有成都大学党委书记在朋友圈留遗言而溺水自尽的天腐之国	1
学校有问题	1
学校已经想好对策，就是啥都不知道嘛现在还有安全的地方了吗	0
赶快找到真相，给孩子父母一个交代	0
已经宣布了?评论配图	0
那个受电话采访的老师说话也断断续续的我不知不知道心里心虚了估计被警告过如果说了啥你就完了的这种他一开始还好等记者连续问了他紧张了	0
荒谬至极的学校	1
？？？?评论配图	1
从教二十多年的化学老师曹利莎应该看得出来是哪个吧……?评论配图	0
从教二十多年的…………?评论配图	0
希望你们能持续关注这件事！还孩子一个公道！给大众一个真相！为什么学生出事以后学校没有立刻通知家长？如学校所说六点四十坠楼，立刻拨打120，为什么救护车八点三十才到！49中在成都市内附近就有医院！最后为什么学校9点多才通知死者父母！出事那一段时间的监控没有了，能不能修复！	2
希望查明真相不要寒了人民的心	1
求一个真相	0
这可是中国政府一直宣扬最重视的“生命权”啊	0
现在这个社会已经变态了	1
呵呵这就是现在的所谓新中国	1
太奇怪了吧！？？？	0
只感觉这个学校很黑暗	1
@共青团中央@紫光阁@中国政府网@国务院公报@光明日报@国台办发布@国务院公报@健康中国@科技日报@联合国@强国论坛@全国人大@人民日报@人民网@世界卫生组织@央视频请不要让人民对中国教育失望@央视新闻@中国新闻社@中国政府网@中国青年报@中国之声@胡锡进@环球网监控	1
啥都不知道.	0
学校绝对有问题	1
别人有背景，他只有背影	0
继续带节奏啊，人血馒头好吃吗？	1
我一直都认为现在我们国家已经很棒了，但是面对平凡普通群众人民的时候确实那么无能！！好吧，愿这位学生黄泉路上一路安好！！头七了记得回来找害你的人报仇！！不为别的，为了你们父母。你要回来。记得	3
这学校领导的心是肉长的吗？	1
现实版扫黑	0
这个家长的微博被删了？	0
这怎么改名了，也不在热搜榜上了，事情到现在也没个结果，这是打算随便糊弄糊弄过去了吗	1
建议家长找私家侦探自己调查	0
孩子妈妈，人生就像泡沫这个微博号，居然凭空消失了	0
微博都注销了	0
在中国，从来不乏为人请命的人，也不乏那些真正赤胆忠心人，更不乏那些无所畏惧的人，有时候，有些路必定难走，必然荆棘丛生，可是只要心里有光，那么我们就要坚持走下去，因为天总会亮起来的，这就是我们所有人心目中的最后的希望，有了希望，有了光，这个世界才会有更好的明天，难道不是吗？	3
想问问林X麒是韭菜苗子还是镰刀坯子？	0
现在家长认同了政府的公告，你们看了完整视频吗？出来说句话，让大家了解真相啊	0
学校当权者不会怕一个底层家长，因为他们知道这些家长奈何不了他们，他们有恃无恐，赤裸裸的蔑视没有社会地位的学生家长。这种现象必须要改变！但是，方法在哪里呢！？	3
持续关注后续报道！	0
家长账号被封啦	0
理性看待，用辩证法思维分析问题这一定是西方帝国主义邪恶实力的渗透，其心可诛。	1
交管监控从来不坏，建议普及	0
官官相护，官大一级压死人。监控视频去哪了？？班主任为什么消失？	1
公布监控公布监控公布监控重要的事说三遍	0
心里有鬼	1
学校监控为什么没有实时上传到教育局	0
好家伙人家妈妈微博号直接没了，渣浪?啊	2
学校是国假的，警茶局是国假的，国假是高端牲口们的，我们是底端人口……比他娘的恶元贱清都不如	3
为什么家长的微博（人生就像泡沫）搜不到了，没有此用户――这都给删了。真是没有天理！！！人生就像泡沫人生就像泡沫人生就像泡沫人生就像泡沫人生就像泡沫人生就像泡沫人生就像泡沫人生就像泡沫人生就像泡沫人生就像泡沫人生就像泡沫人生就像泡沫人生就像泡沫	2
还社会一个真相！！！！	2
1、5月9日晚坠楼，第二天早上死者父亲就到学校看了监控。其母没去，其所谓视频“独缺一段”说法成疑；――“我问她，你孩子是怎么死的，你到底看到没？她说孩子是自己跳楼的，从教室冲到过道。”2、遗体根本没有火化，这是纯粹的造谣；3、她说学校不让进，其实副校长和校长都接待了她	0
哇哦，账号都给人家封了。。。四川官威好胜哦！	2
为什么那个妈妈的微博没有了	0
孩子爸爸当天就看到了监控视频，有孩子跳楼的场景，没有缺失。	0
坚决支持彻查真相！	0
孩子妈妈的微博账号怎么没了？？？	1
转于某平台：家里有人在成都教育系统工作...现在啥都不敢乱说，只能说好像是孩子惹到啥人了......网警会爬线查.......这几年成都的学校出了很多事，成大书记，川师教授，石室梁岗，还有好几起校园暴力事件压热度和请喝茶现在是越来越熟练.......(死者母亲)的微博已经被警方和新浪控制无法登录	1
孩子妈妈微博已经不存在	0
此用户不见了官方这么暴力么	1
监控坏跟精神病都成了万年借口了	1
持续关注，保持热度，一定要还公平正义。	0
这种学校赶紧倒闭吧	1
能不能换个借口？好像很多新闻都是监控缺失删除故障	1
事发时的监控为何总是缺失？	1
监控选择性坏掉，这是它们惯用的伎俩，彻查真相！！	1
叹气了，太惨了，继续查下去吧	1
中国完了	3
监控总是在需要它的时候出问题	1
连央媒都发声了，系个人原因…	0
判处成都四十九中从此关校，不配教学育人；判处成都警方相关办事人员停职，不配办案。可以吗，也行，反正没啥证据，也没有视频可看，你说判决就判决吧#成都四十九中回应学生在校高坠离世#	1
家长已经和谐了，看不到微博了	0
不知真相，但是希望热度不要下去，还受害者家属一个真相	0
每次尼玛的搞得云里雾里晕头转向，最后不了了之，被媒体耍的团团转，	2
喜欢曾经的凤凰视频，敢报道也敢为老百姓发声，民心民声真实，社会需要正义之声	0
关注一下那个家长的微博，你艾特的微博竟然没有了	0
那个家长的微博竟然没有了？？？	1
真相会被吃掉吗？	1
“@人生就像泡沫”为什么被封了？?评论配图	1
心痛！气愤！！！	2
用户不存在了？？？？	1
毕竟一百华诞稳定压倒一切	0
今天你不为他发声，明天惨剧发生在自己身上，也不会有人为你发声！???！！	3
为什么号没了	0
我刚刚看到有网友说死者妈妈的微博被注销了！这估计是真的，因为我刚刚搜死者妈妈的微博没有搜到。现在校方的势力真的大的吗？还真是大到让我有点害怕啊?	3
“人生就像泡沫”是这名坠楼学生的家长吗？怎么查不到她了？	1
哇塞太hei了死者妈妈微博没了?评论配图	1
孩子妈妈的微博已经看不到了	0
为什么男孩母亲微博账户不存在了呢	0
孩子妈妈微博怎么被封了吗？	1
不信谣不传谣，没有火化，监控没有坏，带着脑子看事情吧大家，别被人当枪使了	0
人生就像泡沫，的微博账号咋关了？	0
阿姨的帐户为什么没有了.	1
真相只有一个！	0
我去，人生就像泡沫的微博账号不存在了	1
这位妈妈的微博号已经被炸了	0
家长账号居然被封了，神的很	1
监控缺失是基本操作，呵呵	1
直接删监控火化尸体，这里面绝对有鬼	1
什么情况死者母亲微博不存在了？？？？恐怖	1
家长微博都搜不到了……心寒	1
这位妈妈的微博号被封了	0
#人生就像泡沫#微博名字改成了#四十九中林同学妈妈#不知本人改的还是怎样，但有人不知道可能误传被销号。	0
明目张胆地删视频，谁指使的？抓！杀！	2
家长的用户不存在是什么意思????????迷惑死了！！	2
坠亡者母亲微博已经不存在了	0
又封号呵	1
他妈妈用户不存在了？？	1
成都上次那个书记白死。可见成都教育系统多么黑暗和千疮百孔	1
搞坏监控的，删监控的就不怕报应，这样的事都做得出，良心过得去吗？不怕半夜下地狱？？	2
我的天用户不存在了	1
可怕已经用户不存在了渣浪	1
没有一点做为，黑社会无疑	1
他母亲的微博已经被“不存在”了	0
怎么哪位妈妈的用户都不存在了？？	1
如果学生家长觉得活着没什么意思了那就去蹲学校老师和校长吧杀一个是一个缺失公义的社会需要恐怖主义来纠正	2
孩子母亲微博已经被注销了？？？	1
家长微博都已经没了！	1
?查看图片//@庄舄越呤:监控又坏了。还不第一时间告诉家属，丧尽天良	1
用户不存在了？	1
什么用户不存在	0
这个事情太可怕	1
这个妈妈的号被炸了	0
…这号封的也太快了吧	1
妈妈账号被封了？	1
要查清问题，不能一出问题就说监控坏了，监控坏了说明很有问题，另外说的报警和通知家长不及时是个什么情况	0
把人微博都给清除了？	0
这个母亲的微博呢？注销了为什么	0
用户不存在	0
监控肯定有问题，教育局包庇学校，学校包庇老师	1
信息时代居然还能玩不毁shi但“灭迹”这招？那请问能不能找到互联网大神快速恢复数据啊	1
巧了，竟然无现场	0
接触你妈	2
人生就像泡沫被注销了，下午看的时候还在呢	0
为什么阿姨的账户都没有了	0
用户不存在？	0
愚蠢的校长，办愚蠢的事！	2
孩子妈妈的微博被清空了	0
死者母亲的微博已经被注销，已经不存在了	0
家长用户都不在了，真牛批	2
拜登的3亿美金花到位了	0
让子弹飞一会儿	0
然后现在这个想讨回公道的母亲微博被封了	0
回复@人在江湖54321:邪教徒都能进教育部编写教材，甚至把邪教写进小学生教材，烂在根上出这些玩意不奇怪	1
“他们”都是一伙的，刚看完《巡回检查组》，改编自《人民的正义》，我觉得这剧本质上和《刘老根》没有任何区别，都是人间喜剧	0
微博呢	0
“心急如焚的我们也第一时间求助了各路媒体，大家大致听了一下事件都表示无能为力不敢发声甚至有媒体表示背后的水太深叫我们别白费力气”所以每次看到那种砍死欺负人的垃圾我一点都不奇怪	1
为什么人生就像泡沫用户不存在	0
人生就像泡沫微博账户现在是空的，怎么回事啊	0
牛逼，家长的微博都被封了	2
可怜的孩子[流泪][流泪][流泪][流泪][流泪]求真相给全面的监控	1
嗯？？？？为何阿姨的微博点进去没有了？？？？？	1
为什么这个微博用户搜不到了？@人生就像泡沫	1
我去，妈妈的微博已经显示不存在啦	1
